model,phase,run,n_tokens,phase_s,e_cpu_mj,e_gpu_mj,e_gpu_sram_mj,e_dram_mj,e_ane_mj,e_domains_mj,j_per_tok,wh_per_1k_tok,timestamp
kv-judge-llama32-3b-g3,prefill,2,1956,0.028485,0.0,301.99,0.0,58.54,0.0,360.53,0.0002,5e-05,2026-09-09T16:23:16Z
kv-judge-llama32-3b-g3,decode,2,256,4.137182,5356.23,46959.49,0.0,14169.38,0.0,66485.11,0.2597,0.07214,2026-09-09T16:23:16Z
kv-judge-llama32-3b-g3,prefill,3,1956,0.0363,0.0,412.66,0.0,58.82,0.0,471.47,0.0002,7e-05,2026-09-09T16:23:16Z
kv-judge-llama32-3b-g3,decode,3,256,4.152698999,2280.96,45546.68,0.0,14111.41,0.0,61939.05,0.2419,0.06721,2026-09-09T16:23:16Z
kv-judge-llama32-3b-g3,prefill,4,1956,0.02828,0.0,315.13,0.0,66.05,0.0,381.18,0.0002,5e-05,2026-09-09T16:23:16Z
kv-judge-llama32-3b-g3,decode,4,256,4.096783,2835.83,47771.82,0.0,14202.35,0.0,64810.0,0.2532,0.07032,2026-09-09T16:23:16Z
qwen3.5:4b,prefill,0,1965,2.686318,0.0,83322.14,0.0,2615.6,0.0,85937.74,0.0437,0.01215,2026-09-09T16:23:16Z
qwen3.5:4b,decode,0,256,5.241742,13787.18,86396.42,0.0,20501.12,0.0,120684.72,0.4714,0.13095,2026-09-09T16:23:16Z
qwen3.5:4b,prefill,1,1965,0.754289,0.0,22794.44,0.0,776.47,0.0,23570.91,0.012,0.00333,2026-09-09T16:23:16Z
qwen3.5:4b,decode,1,256,5.799461,7814.42,81925.62,0.0,20561.52,0.0,110301.56,0.4309,0.11968,2026-09-09T16:23:16Z
qwen3.5:4b,prefill,2,1965,0.763189,0.0,23036.69,0.0,774.82,0.0,23811.51,0.0121,0.00337,2026-09-09T16:23:16Z
qwen3.5:4b,decode,2,256,5.89578,12123.17,84228.39,0.0,20755.5,0.0,117107.07,0.4574,0.12707,2026-09-09T16:23:16Z
qwen3.5:4b,prefill,3,1965,0.754521,0.0,23243.97,0.0,846.41,0.0,24090.38,0.0123,0.00341,2026-09-09T16:23:16Z
qwen3.5:4b,decode,3,256,5.847778,14348.07,85509.09,0.0,20831.29,0.0,120688.45,0.4714,0.13096,2026-09-09T16:23:16Z
qwen3.5:4b,prefill,4,1965,0.753655,0.0,23281.43,0.0,850.99,0.0,24132.42,0.0123,0.00341,2026-09-09T16:23:16Z
qwen3.5:4b,decode,4,256,5.903565,13931.61,85430.93,0.0,20828.31,0.0,120190.84,0.4695,0.13042,2026-09-09T16:23:16Z
llama3.1:8b,prefill,0,1965,4.767825,0.0,159717.44,0.0,5529.66,0.0,165247.09,0.0841,0.02336,2026-09-09T16:23:16Z
llama3.1:8b,decode,0,256,5.73638,32073.47,130280.47,0.0,32925.49,0.0,195279.43,0.7628,0.21189,2026-09-09T16:23:16Z
llama3.1:8b,prefill,1,1965,0.143391,0.0,3468.67,0.0,210.56,0.0,3679.23,0.0019,0.00052,2026-09-09T16:23:16Z
llama3.1:8b,decode,1,256,6.197051,22304.43,127033.55,0.0,33007.21,0.0,182345.18,0.7123,0.19786,2026-09-09T16:23:16Z
llama3.1:8b,prefill,2,1965,0.143745,376.83,3606.94,0.0,240.53,0.0,4224.31,0.0021,0.0006,2026-09-09T16:23:16Z
llama3.1:8b,decode,2,256,6.533779,19052.78,124956.37,0.0,33013.5,0.0,177022.64,0.6915,0.19208,2026-09-09T16:23:16Z
llama3.1:8b,prefill,3,1965,0.143371,594.76,3573.56,0.0,248.71,0.0,4417.03,0.0022,0.00062,2026-09-09T16:23:16Z
llama3.1:8b,decode,3,256,6.565959,18969.44,125291.5,0.0,33069.7,0.0,177330.63,0.6927,0.19242,2026-09-09T16:23:16Z
llama3.1:8b,prefill,4,1965,0.143765,0.0,3545.22,0.0,214.51,0.0,3759.73,0.0019,0.00053,2026-09-09T16:23:16Z
llama3.1:8b,decode,4,256,6.586596,15084.44,126119.68,0.0,33281.18,0.0,174485.29,0.6816,0.18933,2026-09-09T16:23:16Z
qwen3:14b,prefill,0,1965,9.147772,0.0,289483.42,0.0,11994.84,0.0,301478.26,0.1534,0.04262,2026-09-09T16:23:16Z
qwen3:14b,decode,0,256,10.53276,37001.58,251707.94,0.0,63836.32,0.0,352545.83,1.3771,0.38254,2026-09-09T16:23:16Z
qwen3:14b,prefill,1,1965,0.17896,0.0,4891.48,0.0,376.02,0.0,5267.5,0.0027,0.00074,2026-09-09T16:23:16Z
qwen3:14b,decode,1,256,10.551322,38642.66,254247.28,0.0,64322.9,0.0,357212.85,1.3954,0.3876,2026-09-09T16:23:16Z
qwen3:14b,prefill,2,1965,0.180104,220.1,4737.07,0.0,393.64,0.0,5350.8,0.0027,0.00076,2026-09-09T16:23:16Z
qwen3:14b,decode,2,256,10.620267,41392.18,256543.81,0.0,64973.71,0.0,362909.69,1.4176,0.39378,2026-09-09T16:23:16Z
qwen3:14b,prefill,3,1965,0.182234,113.86,4672.78,0.0,397.08,0.0,5183.72,0.0026,0.00073,2026-09-09T16:23:16Z
qwen3:14b,decode,3,256,10.649055,39981.88,257302.45,0.0,65305.75,0.0,362590.08,1.4164,0.39344,2026-09-09T16:23:16Z
qwen3:14b,prefill,4,1965,0.183892,235.45,4581.91,0.0,416.99,0.0,5234.35,0.0027,0.00074,2026-09-09T16:23:16Z
qwen3:14b,decode,4,256,10.662462,40394.96,238467.29,0.0,65225.08,0.0,344087.32,1.3441,0.37336,2026-09-09T16:23:16Z
